"","N","layer_N","y_bar","y_bar1","rmse","rmse1","rang","R_squared","y_min","y_max","sum_f","nrmse_mean_not_sum","y_bar2"
"571","2_72",2,142694.825474998,143463.551807523,63198.749471189,63368.753139365,456568.475,0.476222328238828,7018,463586.475,2698.52639090221,0.545728149911238,116117.801784042
"572","2_73",2,128175.446673309,128390.434004193,50180.3266828923,50222.3925186666,367157.65625,0.543499722995591,5428.5,372586.15625,3546.73536110084,0.432512429162853,116117.801784042
"573","2_74",2,124398.088180863,125110.370935688,54205.0692269271,54360.0323240391,386316.5625,0.439651482423253,8463.125,394779.6875,2327.91897797986,0.468145551232006,116117.801784042
"574","2_75",2,133713.579899258,134162.886283328,55984.5972812539,56078.5785414348,463926.375,0.501920182550664,14394.875,478321.25,2996.93055331942,0.482945574923394,116117.801784042
"575","2_76",2,125718.903455844,126098.974040696,54376.6111913821,54458.7442415863,405403.625,0.435823440137632,9311.5,414715.125,2298.17193171895,0.468995652732643,116117.801784042
"576","2_77",2,128905.306279089,129774.526146109,53215.6258013161,53394.7431903097,449213.1875,0.509904716956458,6954.75,456167.9375,3083.80356503996,0.459832535321451,116117.801784042
"577","2_78",2,115991.78800776,116303.384483267,47589.4728047249,47653.3513204646,355433.375,0.482050290311636,10583.375,366016.75,2769.73157264742,0.410387990371117,116117.801784042
"578","2_79",2,129040.881705477,129692.38396922,57363.598464864,57508.2249616512,498690.041666667,0.472947258254497,10447.25,509137.291666667,2664.21232362289,0.495257609755705,116117.801784042
"579","2_8",2,125542.772826622,125964.623541765,52271.1832111113,52358.9307686161,403465.065972222,0.492271374337461,4983,408448.065972222,2883.45977217496,0.450912176808121,116117.801784042
"580","2_80",2,142745.521488032,143369.703048524,61389.8331388018,61523.9060126192,535677.511111111,0.545298340729641,4276.25,539953.761111111,3562.95460392082,0.529840429868304,116117.801784042
"581","2_81",2,133407.837096146,134126.532514845,55256.841547536,55405.4816050293,458611.083333333,0.456385004294099,11940.5,470551.583333333,2491.7463709513,0.477148901837408,116117.801784042
