"","N","layer_N","y_bar","y_bar1","rmse","rmse1","rang","R_squared","y_min","y_max","sum_f","nrmse_mean_not_sum","y_bar2"
"137","12_41",12,41710.1331059386,42076.72607269,6356.91526423077,6384.78981321422,169247.833333333,0.910786718234927,12069.75,181317.583333333,10433.6933651566,0.152631842976287,41831.3091731859
"138","12_42",12,40767.8486264106,41126.1597959787,5990.87729482049,6017.14679750648,148606.058333334,0.931951161956239,12069.75,160675.808333334,13996.6252900125,0.143843138463462,41831.3091731859
"139","12_43",12,40450.6636339001,40806.1870447449,6806.29030368058,6836.13532513825,132585.566666666,0.900480093781056,12069.75,144655.316666666,9247.30228161187,0.163421500791093,41831.3091731859
"140","12_44",12,43378.6134390749,43845.5065387127,8368.27844936535,8413.19268410262,214515.4,0.888241987575465,12069.75,226585.15,8106.86238661197,0.201121907260209,41831.3091731859
"141","12_45",12,41797.2117552403,42205.7866502085,7201.87536888615,7236.98954765914,167390.797619047,0.885992384042169,13926.7857142857,181317.583333333,7934.54206113428,0.173004137109295,41831.3091731859
"142","12_46",12,41946.6610650802,42315.3328908475,6402.12791008535,6430.2007127908,178586.604166667,0.923887651064373,11771.8333333334,190358.4375,12405.5188493311,0.15371741501489,41831.3091731859
"143","12_47",12,40212.2402665864,40605.321794119,6516.93970736365,6548.71434580377,158125.6875,0.907711133641426,12069.75,170195.4375,10042.0896259258,0.15655054731114,41831.3091731859
"144","12_48",12,43087.0679166308,43465.7628494918,7775.93175911958,7810.02857836321,164108.725,0.878605860018059,12069.75,176178.475,7396.85778137264,0.186702944104113,41831.3091731859
"145","12_49",12,41665.3238424529,42031.5229777869,6254.5563067851,6281.98202018484,160314,0.910972530728557,12069.75,172383.75,10457.6029625861,0.150174167252973,41831.3091731859
"146","12_5",12,42930.5595890454,43307.8789604335,6494.86658691115,6523.34604106347,169247.833333333,0.917199331584115,12069.75,181317.583333333,11320.8955291372,0.155944104308477,41831.3091731859
"147","12_50",12,41978.8524184901,42389.202882014,8165.70786663841,8205.52140285648,132200.75,0.846507929920527,12069.75,144270.5,5630.80943531063,0.196157413311756,41831.3091731859
"148","12_51",12,44130.0457821778,44517.9075126852,6963.88855102466,6994.42462779496,162727.125,0.918573018298835,12069.75,174796.875,11529.1222281419,0.167205491916051,41831.3091731859
"149","12_52",12,42123.7255815146,42493.9536383834,6891.77620955107,6921.99607965333,148861.166666667,0.89436492668769,12069.75,160930.916666667,8652.81697086026,0.165474048421377,41831.3091731859
"150","12_53",12,40576.1887018713,40932.8153603838,7173.05968443698,7204.51295937052,138725.88125,0.887068609495651,12069.75,150795.63125,8027.7424625321,0.172227766755831,41831.3091731859
"151","12_54",12,41311.9852646492,41675.0788851393,6382.78918102493,6410.77718499891,148125.083333333,0.910451974565761,12069.75,160194.833333333,10390.8703010936,0.153253085110429,41831.3091731859
"152","12_55",12,42915.9727035754,43335.4836781949,7306.85106507088,7342.47707377342,165976.865476191,0.88075715890784,15774.2357142857,181751.101190477,7541.3588858546,0.175525873296837,41831.3091731859
"153","12_56",12,43270.943797462,43693.9246752475,6665.25306598971,6697.75083577028,196294.423809523,0.918348397074229,15275.3857142857,211569.809523809,11483.3472928288,0.160113344959894,41831.3091731859
"154","12_57",12,42313.4361201172,42685.3315547667,6942.18464970817,6972.62555666178,165600.1875,0.901142302553516,12069.75,177669.9375,9316.09229223914,0.166684373367193,41831.3091731859
"155","12_58",12,41025.9612332733,41386.5409706751,6806.06011324908,6835.9041253407,142985.975,0.900034197586098,12069.75,155055.725,9201.49618891138,0.163415973835276,41831.3091731859
"156","12_59",12,42189.1305556229,42601.5365239086,6685.37479906561,6717.97067636627,199500.059523809,0.906891705963447,12069.75,211569.809523809,9944.72556252796,0.160596711151286,41831.3091731859
"157","12_6",12,41459.1136065205,41864.383534248,6214.73910331871,6245.04030248195,157503.107142857,0.91567903248363,14880.6428571429,172383.75,11087.4948391014,0.149291055573395,41831.3091731859
