"","N","layer_N","y_bar","y_bar1","rmse","rmse1","rang","R_squared","y_min","y_max","sum_f","nrmse_mean_not_sum","y_bar2"
"201","14_1",14,63828.6913261135,65446.3139151597,8822.43390952026,8933.52874422957,244998.875,0.960340531552098,7135.33333333333,252134.208333333,22882.8533975156,0.137088667894738,65166.0628221224
"202","14_10",14,63087.43610914,64686.2729271119,7642.41065863813,7738.64627316462,243849.145833333,0.970188094041116,8285.0625,252134.208333333,30753.7448338031,0.11875270559598,65166.0628221224
"203","14_100",14,63779.4868634925,65395.8624545419,8207.08823004696,8310.43444036857,244214.84672619,0.965511519498894,7919.36160714286,252134.208333333,26455.4533186001,0.12752702987524,65166.0628221224
"204","14_11",14,62771.5577167349,64362.3891689014,8116.0482397881,8218.24804620649,244214.84672619,0.966580996614927,7919.36160714286,252134.208333333,27332.3244046556,0.126112391792628,65166.0628221224
"205","14_12",14,63332.6809781894,64937.7330832333,7214.83114493637,7305.68254509674,245276.120833333,0.974955053912432,6858.0875,252134.208333333,36787.1634750527,0.112108699355343,65166.0628221224
"206","14_13",14,64276.2812776146,65905.2472234041,8936.64616183658,9049.17919278776,244357.895833333,0.959648376264851,7776.3125,252134.208333333,22474.1319338863,0.138863371529571,65166.0628221224
"207","14_14",14,64371.484322371,66002.8630169189,8449.90392905767,8556.30775026343,244365.763888889,0.963790046932368,7768.44444444445,252134.208333333,25152.7968746591,0.131300056804395,65166.0628221224
"208","14_15",14,64925.3787072081,66570.7948518469,8887.57782864495,8999.49297586685,276888.5625,0.962020342135138,7158.9375,284047.5,23936.7407298,0.138100916123043,65166.0628221224
"209","14_16",14,63477.2967251237,65086.0138543771,7979.8273584273,8080.31182909436,243345.758333333,0.967692016238582,8788.45,252134.208333333,28304.7361326683,0.123995703885785,65166.0628221224
"210","14_17",14,63280.5624027255,64884.29365686,8749.88693397151,8860.06823457675,243345.758333333,0.960815410048296,8788.45,252134.208333333,23171.6234268304,0.1359613862013,65166.0628221224
"211","14_18",14,63179.1238902476,64780.2843689867,7911.60073764119,8011.22607745653,244365.763888889,0.968003195524396,7768.44444444445,252134.208333333,28589.1992891979,0.122935554650954,65166.0628221224
"212","14_19",14,64100.9165633879,65725.4382080778,8444.94977593126,8551.29121289834,243723.058333333,0.964130851193834,8411.15,252134.208333333,25400.7603944464,0.131223075978059,65166.0628221224
"213","14_2",14,64704.1340061171,66343.943104477,9140.32146078545,9255.41923451659,246241.776785714,0.95972667792978,5892.43154761905,252134.208333333,22519.6647314645,0.142028209679941,65166.0628221224
"214","14_20",14,63624.3020760637,65236.7447897127,7482.58828418218,7576.81136560782,244214.84672619,0.971459754503211,7919.36160714286,252134.208333333,32166.1377477921,0.116269282468231,65166.0628221224
"215","14_21",14,64443.078671888,66076.2717955683,7891.8243573545,7991.20066683177,244441.148809523,0.968917682876605,7693.05952380952,252134.208333333,29458.1387443989,0.122628256499776,65166.0628221224
"216","14_22",14,64018.0400731004,65640.4613632318,8711.67599174132,8821.37612826477,330385,0.963504626580763,7337,337722,24948.6931304799,0.135367639937733,65166.0628221224
"217","14_23",14,62721.3944827323,64310.9546385777,7740.80442424044,7838.27904369892,243292.958333333,0.969821679176953,8841.25,252134.208333333,30368.8695005959,0.120281611382513,65166.0628221224
"218","14_24",14,62434.9604288393,64017.2614323157,8190.09577046689,8293.22800644676,243480.875,0.966366332575231,8653.33333333333,252134.208333333,27151.8467715797,0.127262990079422,65166.0628221224
"219","14_25",14,62387.4814266133,63968.5791607619,9170.15605812934,9285.62951839942,244241.866987179,0.957647310302938,7892.34134615384,252134.208333333,21367.6324859022,0.142491798894549,65166.0628221224
"220","14_26",14,63427.7600121771,65035.221723151,7866.61857320892,7965.67748360424,244474.809173669,0.969109285646163,7659.39915966386,252134.208333333,29646.7172770923,0.122236592769881,65166.0628221224
"221","14_27",14,62967.8826067343,64563.6895576969,7861.08593934671,7960.07518109382,276415.262820513,0.969690711130787,7632.23717948718,284047.5,30233.5606081935,0.122150623136796,65166.0628221224
"222","14_28",14,65529.1928803524,67189.9116017129,8061.20201909066,8162.71118482131,245401.795833333,0.97170447675323,6732.4125,252134.208333333,32452.5092723499,0.125260155843729,65166.0628221224
